ts,datetime_utc,equity,B&H BTC,Equiponderado
1585411199999,2020-03-28 15:59,11517.44183599,6156.1189895500000000,6006.7862115370000000
1585425599999,2020-03-28 19:59,11517.44183599,6151.9290963373000000,6008.8055856415000000
1585439999999,2020-03-28 23:59,11517.44183599,6177.5637148585000000,6082.6515427645000000
1585454399999,2020-03-29 03:59,11517.44183599,6144.1832417455000000,6042.6471102415000000
1585468799999,2020-03-29 07:59,11517.44183599,6095.5983098110000000,6007.6119959260000000
1585483199999,2020-03-29 11:59,11517.44183599,6080.1957472915000000,5992.8250541695000000
1585497599999,2020-03-29 15:59,11517.44183599,6071.7169090171000000,5985.1570948045000000
1585511999999,2020-03-29 19:59,11517.44183599,5849.3455080121000000,5782.3150638805000000
1585526399999,2020-03-29 23:59,11517.44183599,5825.7018316558000000,5758.6075905850000000
1585540799999,2020-03-30 03:59,11517.44183599,5952.1613272741000000,5877.1511728405000000
1585555199999,2020-03-30 07:59,11517.44183599,6183.5464465381000000,6063.6999473305000000
1585569599999,2020-03-30 11:59,11517.44183599,6295.3462685044000000,6197.5424143870000000
1585583999999,2020-03-30 15:59,11517.44183599,6283.4798569942000000,6162.3520270000000000
1585598399999,2020-03-30 19:59,11517.44183599,6306.4202652226000000,6173.8221154300000000
1585612799999,2020-03-30 23:59,11517.44183599,6333.7981962862000000,6185.4537931090000000
1585627199999,2020-03-31 03:59,11517.44183599,6378.4606750003000000,6209.6133848335000000
1585641599999,2020-03-31 07:59,11517.44183599,6384.0273889141000000,6207.1395531415000000
1585655999999,2020-03-31 11:59,11517.44183599,6326.6763683431000000,6177.7786154695000000
1585670399999,2020-03-31 15:59,11517.44183599,6392.9717708788000000,6230.8117637350000000
1585684799999,2020-03-31 19:59,11517.44183599,6402.2331187603000000,6247.3281453205000000
1585699199999,2020-03-31 23:59,11517.44183599,6349.7059232356000000,6208.4933414980000000
1585713599999,2020-04-01 03:59,11517.44183599,6308.3418710932000000,6190.5543904060000000
1585727999999,2020-04-01 07:59,11517.44183599,6271.9700321404000000,6162.7686219880000000
1585742399999,2020-04-01 11:59,11517.44183599,6237.2127383263000000,6142.6472839675000000
1585756799999,2020-04-01 15:59,11517.44183599,6171.0659135641000000,6082.1455412725000000
1585771199999,2020-04-01 19:59,11517.44183599,6142.0635321769000000,6041.1301217485000000
1585785599999,2020-04-01 23:59,11517.44183599,6579.9816617908000000,6391.5159926410000000
1585799999999,2020-04-02 03:59,11517.44183599,6543.4612450645000000,6387.4274447815000000
1585814399999,2020-04-02 07:59,11517.44183599,6581.0514217600000000,6430.4509966630000000
1585828799999,2020-04-02 11:59,11517.44183599,6627.2095833940000000,6459.7012940860000000
1585843199999,2020-04-02 15:59,11517.44183599,6740.5248986500000000,6554.0727931210000000
1585857599999,2020-04-02 19:59,11517.44183599,6738.7914912925000000,6588.8633612275000000
1585871999999,2020-04-02 23:59,11517.44183599,6729.7183419241000000,6594.1554368545000000
1585886399999,2020-04-03 03:59,11517.44183599,6718.1788015156000000,6594.5571742150000000
1585900799999,2020-04-03 07:59,11517.44183599,6865.7858668954000000,6739.2173442400000000
1585915199999,2020-04-03 11:59,11517.44183599,6938.0540959258000000,6809.6369241700000000
1585929599999,2020-04-03 15:59,11517.44183599,6648.3076272310000000,6555.9647842360000000
1585943999999,2020-04-03 19:59,11517.44183599,6704.0242922935000000,6605.0800503055000000
1585958399999,2020-04-03 23:59,11517.44183599,6670.2971377090000000,6565.1308509940000000
1585972799999,2020-04-04 03:59,11517.44183599,6632.7465817531000000,6510.2413549345000000
1585987199999,2020-04-04 07:59,11517.44183599,6665.7803733946000000,6555.3296090470000000
1586001599999,2020-04-04 11:59,11517.44183599,6633.5588069149000000,6535.3332609115000000
1586015999999,2020-04-04 15:59,11517.44183599,6666.2459170849000000,6585.7339088125000000
1586030399999,2020-04-04 19:59,11517.44183599,6683.4215077015000000,6605.9787996565000000
1586044799999,2020-04-04 23:59,11517.44183599,6792.0219549451000000,6689.7642892975000000
1586059199999,2020-04-05 03:59,11517.44183599,6732.6304662847000000,6655.2688282885000000
1586073599999,2020-04-05 07:59,11517.44183599,6709.0462210378000000,6618.3338827060000000
1586087999999,2020-04-05 11:59,11517.44183599,6712.3941735340000000,6623.2078528570000000
1586102399999,2020-04-05 15:59,11517.44183599,6720.4569940426000000,6643.4678485810000000
1586116799999,2020-04-05 19:59,11517.44183599,6728.6287715851000000,6638.4108081835000000
1586131199999,2020-04-05 23:59,11517.44183599,6708.6103929022000000,6615.6016766470000000
1586145599999,2020-04-06 03:59,11517.44183599,6778.9768264318000000,6682.3275020290000000
1586159999999,2020-04-06 07:59,11517.44183599,6964.9169573746000000,6898.9541894980000000
1586174399999,2020-04-06 11:59,11517.44183599,7031.7373347100000000,7041.3929801260000000
1586188799999,2020-04-06 15:59,11517.44183599,7075.3201482700000000,7224.0989952220000000
1586203199999,2020-04-06 19:59,11517.44183599,7197.0152499514000000,7372.4890845940000000
1586217599999,2020-04-06 23:59,11517.44183599,7260.4480540510000000,7546.1485023430000000
1586231999999,2020-04-07 03:59,11517.44183599,7252.6922942743000000,7534.7277789985000000
1586246399999,2020-04-07 07:59,11517.44183599,7308.1712348992000000,7626.2386130620000000
1586260799999,2020-04-07 11:59,11517.44183599,7311.0734540749000000,7596.3753167515000000
1586275199999,2020-04-07 15:59,11517.44183599,7248.7005047596000000,7489.0746143620000000
1586289599999,2020-04-07 19:59,11517.44183599,7218.4995959995000000,7474.2028844785000000
1586303999999,2020-04-07 23:59,11517.44183599,7129.1251126468000000,7327.5728927470000000
1586318399999,2020-04-08 03:59,11517.44183599,7283.7351437509000000,7576.9919944765000000
1586332799999,2020-04-08 07:59,11517.44183599,7252.4743802065000000,7516.7901915415000000
1586347199999,2020-04-08 11:59,11517.44183599,7223.8186802908000000,7466.8052230450000000
1586361599999,2020-04-08 15:59,11517.44183599,7207.8812377867000000,7469.5794755155000000
1586375999999,2020-04-08 19:59,11517.44183599,7236.8638088041000000,7511.9564231485000000
1586390399999,2020-04-08 23:59,11517.44183599,7291.5305242672000000,7602.6040043290000000
1586404799999,2020-04-09 03:59,11517.44183599,7217.3010686266000000,7498.0608521290000000
1586419199999,2020-04-09 07:59,11517.44183599,7260.5471059000000000,7571.5695418570000000
1586433599999,2020-04-09 11:59,11517.44183599,7115.9115959902000000,7397.0807433190000000
1586447999999,2020-04-09 15:59,11517.44183599,7213.6757709532000000,7491.6767775940000000
1586462399999,2020-04-09 19:59,11517.44183599,7194.0337892965000000,7463.7986820955000000
1586476799999,2020-04-09 23:59,11517.44183599,7214.5276168546000000,7482.0455194930000000
1586491199999,2020-04-10 03:59,11517.44183599,7107.7893443722000000,7288.1050191280000000
1586505599999,2020-04-10 07:59,11517.44183599,6857.3862701002000000,7041.3043348600000000
1586519999999,2020-04-10 11:59,11517.44183599,6832.8808426576000000,7024.2517285360000000
1586534399999,2020-04-10 15:59,11517.44183599,6702.3206004907000000,6849.7147547215000000
1586548799999,2020-04-10 19:59,11517.44183599,6834.9312159319000000,7031.6769264055000000
1586563199999,2020-04-10 23:59,11517.44183599,6793.9336556308000000,7004.0926148290000000
1586577599999,2020-04-11 03:59,11517.44183599,6842.3700097918000000,7078.8250036330000000
1586591999999,2020-04-11 07:59,11517.44183599,6811.5450743830000000,7032.5554445080000000
1586606399999,2020-04-11 11:59,11517.44183599,6813.0407573029000000,7039.0175834005000000
1586620799999,2020-04-11 15:59,11517.44183599,6766.5557245672000000,6979.8894662050000000
1586635199999,2020-04-11 19:59,11517.44183599,6738.7617757378000000,6926.2210693240000000
1586649599999,2020-04-11 23:59,11517.44183599,6811.6738417867000000,7024.8483727945000000
1586663999999,2020-04-12 03:59,11517.44183599,6742.0007712001000000,6927.3834063235000000
1586678399999,2020-04-12 07:59,11517.44183599,6763.9407557536000000,6971.7248290150000000
1586692799999,2020-04-12 11:59,11517.44183599,6782.3049685582000000,7003.0783461130000000
1586707199999,2020-04-12 15:59,11517.44183599,6952.4859503251000000,7178.4539974105000000
1586721599999,2020-04-12 19:59,11517.44183599,7044.7428424837000000,7264.5821130805000000
1586735999999,2020-04-12 23:59,11428.9050704044000000,6838.3782202771000000,7044.1433045485000000
1586750399999,2020-04-13 03:59,11405.54684491,6612.2725645648000000,6788.6911369240000000
1586764799999,2020-04-13 07:59,11405.54684491,6635.8667149966000000,6802.0880985520000000
1586779199999,2020-04-13 11:59,11405.54684491,6706.8571751749000000,6902.4974751655000000
1586793599999,2020-04-13 15:59,11405.54684491,6701.5479960685000000,6871.0428153115000000
1586807999999,2020-04-13 19:59,11405.54684491,6708.5707721626000000,6888.0399276850000000
1586822399999,2020-04-13 23:59,11405.54684491,6773.1228621559000000,6958.9443487885000000
1586836799999,2020-04-14 03:59,11405.54684491,6819.8357141443000000,7020.7006686505000000
1586851199999,2020-04-14 07:59,11405.54684491,6753.1738197673000000,6954.9128053675000000
1586865599999,2020-04-14 11:59,11405.54684491,6763.1285305918000000,6964.2329823610000000
1586879999999,2020-04-14 15:59,11405.54684491,6840.9436631662000000,7073.9975379310000000
1586894399999,2020-04-14 19:59,11405.54684491,6852.6317813482000000,7085.0986986580000000
1586908799999,2020-04-14 23:59,11405.54684491,6803.6209264630000000,7023.5648221300000000
1586923199999,2020-04-15 03:59,11405.54684491,6841.1219564944000000,7085.5152936460000000
1586937599999,2020-04-15 07:59,11405.54684491,6797.0339785045000000,7044.5000344615000000
1586951999999,2020-04-15 11:59,11405.54684491,6718.7334918700000000,6964.6643345770000000
1586966399999,2020-04-15 15:59,11405.54684491,6638.4024423310000000,6879.6990638980000000
1586980799999,2020-04-15 19:59,11405.54684491,6666.2459170849000000,6920.3636081485000000
1586995199999,2020-04-15 23:59,11405.54684491,6558.5072209276000000,6770.2659075970000000
1587009599999,2020-04-16 03:59,11405.54684491,6588.8468022763000000,6792.2927112445000000
1587023999999,2020-04-16 07:59,11405.54684491,6827.0962146760000000,7174.7313892450000000
1587038399999,2020-04-16 11:59,11405.54684491,6957.4385427751000000,7364.7023166565000000
1587052799999,2020-04-16 15:59,11405.54684491,6978.7545006799000000,7433.1889544635000000
1587067199999,2020-04-16 19:59,11405.54684491,7003.7948081071000000,7443.1946877145000000
1587081599999,2020-04-16 23:59,11405.54684491,7034.6494590706000000,7455.4218468160000000
