ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1688371199999,2023-07-03 07:59,28175.9817164400000000,30376.4653055431000000,34976.8521339327000000
1688385599999,2023-07-03 11:59,28152.1246673700000000,30334.8932445178000000,34928.9841599226000000
1688399999999,2023-07-03 15:59,28404.1783413900000000,30774.1089533536000000,35434.7172320112000000
1688414399999,2023-07-03 19:59,28510.5886245900000000,30959.5340146816000000,35648.2241353872000000
1688428799999,2023-07-03 23:59,28453.9501597500000000,30860.8387523380000000,35534.5818925860000000
1688443199999,2023-07-04 03:59,28476.3974999400000000,30899.9543275081000000,35579.6213563377000000
1688457599999,2023-07-04 07:59,28314.8039352600000000,30618.3697311709000000,35255.3919626853000000
1688471999999,2023-07-04 11:59,28403.8088612400000000,30773.4651163351000000,35433.9758885967000000
1688486399999,2023-07-04 15:59,28344.9080410200000000,30670.8275904013000000,35315.7943430421000000
1688500799999,2023-07-04 19:59,28192.8356955900000000,30405.8341787716000000,35010.6687989172000000
1688515199999,2023-07-04 23:59,28232.4382833600000000,30474.8436019699000000,35090.1294076683000000
1688529599999,2023-07-05 03:59,28290.5319315600000000,30576.0745916479000000,35206.6914029943000000
1688543999999,2023-07-05 07:59,28236.8379393000000000,30482.5102150825000000,35098.9570969425000000
1688558399999,2023-07-05 11:59,28026.5468908500000000,30116.0678997070000000,34677.0186412590000000
1688572799999,2023-07-05 15:59,27999.1542009600000000,30068.3348136739000000,34622.0565810363000000
1688587199999,2023-07-05 19:59,28042.2640080000000000,30143.4557359555000000,34708.5542495835000000
1688601599999,2023-07-05 23:59,28083.6798906600000000,30215.6249131369000000,34791.6531437073000000
1688615999999,2023-07-06 03:59,28075.7445939000000000,30201.7972750165000000,34775.7313682205000000
1688630399999,2023-07-06 07:59,28253.2883324400000000,30511.1758201831000000,35131.9639868127000000
1688644799999,2023-07-06 11:59,28277.9355006000000000,30554.1247019095000000,35181.4172952015000000
1688659199999,2023-07-06 15:59,28028.0873388600000000,30118.7522048149000000,34680.1094730333000000
1688673599999,2023-07-06 19:59,27972.8756358300000000,30022.5431438812000000,34569.3299563404000000
1688687999999,2023-07-06 23:59,27737.2894078800000000,29612.0227557007000000,34096.6379899719000000
1688702399999,2023-07-07 03:59,27873.6957949500000000,29849.7174777460000000,34370.3305733220000000
1688716799999,2023-07-07 07:59,27800.9366269500000000,29722.9311110260000000,34224.3429470820000000
1688731199999,2023-07-07 11:59,27864.2029972500000000,29833.1758189630000000,34351.2837502110000000
