ts,datetime_utc,equity,B&H BTC (OOS)
1686729599999,2023-06-14 07:59,11087.03659949473628644650032,6208.033652598028941685835950
1686743999999,2023-06-14 11:59,11087.03659949473628644650032,6226.728764842408400797724592
1686758399999,2023-06-14 15:59,11087.03659949473628644650032,6229.375181551960256530449949
1686772799999,2023-06-14 19:59,11087.03659949473628644650032,6202.489121937527635245805379
1686787199999,2023-06-14 23:59,11087.03659949473628644650032,6023.666621832582992305969402
1686801599999,2023-06-15 03:59,11087.03659949473628644650032,6008.504859434108818837230377
1686815999999,2023-06-15 07:59,11087.03659949473628644650032,5988.956373685562275811528124
1686830399999,2023-06-15 11:59,11087.03659949473628644650032,5996.428186080193738056913031
1686844799999,2023-06-15 15:59,11087.03659949473628644650032,5983.239250630959761388928507
1686859199999,2023-06-15 19:59,11087.03659949473628644650032,6102.025965871116155392073750
1686873599999,2023-06-15 23:59,11087.03659949473628644650032,6136.304733032883851930092416
1686887999999,2023-06-16 03:59,11087.03659949473628644650032,6127.495329583968027819797409
1686902399999,2023-06-16 07:59,11087.03659949473628644650032,6121.567260269908481418502293
1686916799999,2023-06-16 11:59,11087.03659949473628644650032,6106.585281615289732931606023
1686931199999,2023-06-16 15:59,11087.03659949473628644650032,6194.199892787500174082975410
1686945599999,2023-06-16 19:59,11087.03659949473628644650032,6324.224290576912998951171808
1686959999999,2023-06-16 23:59,11087.03659949473628644650032,6315.251883200234922857339370
1686974399999,2023-06-17 03:59,11087.03659949473628644650032,6295.394169412257048862867577
1686988799999,2023-06-17 07:59,11087.03659949473628644650032,6374.837010147092239839544263
1687003199999,2023-06-17 11:59,11087.03659949473628644650032,6354.267352733446882916975160
1687017599999,2023-06-17 15:59,11087.03659949473628644650032,6331.029704560987019263859570
1687031999999,2023-06-17 19:59,11087.03659949473628644650032,6346.486312299384089702820714
1687046399999,2023-06-17 23:59,11087.03659949473628644650032,6356.479891341160979693520002
1687060799999,2023-06-18 03:59,11087.03659949473628644650032,6364.021220116749872931884108
1687075199999,2023-06-18 07:59,11087.03659949473628644650032,6372.777887000801439047505240
1687089599999,2023-06-18 11:59,11087.03659949473628644650032,6352.407190263689419104842119
1687103999999,2023-06-18 15:59,11087.03659949473628644650032,6367.290887138333868601664350
1687118399999,2023-06-18 19:59,11087.03659949473628644650032,6388.363939034774415473393168
1687132799999,2023-06-18 23:59,11087.03659949473628644650032,6314.046133558111205979113958
1687147199999,2023-06-19 03:59,11087.03659949473628644650032,6329.241455588771725444463631
1687161599999,2023-06-19 07:59,11087.03659949473628644650032,6335.150347970153359847695520
1687175999999,2023-06-19 11:59,11087.03659949473628644650032,6339.877461875258667370281031
1687190399999,2023-06-19 15:59,11087.03659949473628644650032,6338.983337389151020460583061
1687204799999,2023-06-19 19:59,11087.03659949473628644650032,6396.101831370311906691905353
1687219199999,2023-06-19 23:59,11087.03659949473628644650032,6434.951899859176875768245809
1687233599999,2023-06-20 03:59,11087.03659949473628644650032,6447.457657081760237505227864
1687247999999,2023-06-20 07:59,11087.03659949473628644650032,6432.096934006752727056582856
1687262399999,2023-06-20 11:59,11087.03659949473628644650032,6450.207149804455870227543067
1687276799999,2023-06-20 15:59,11087.03659949473628644650032,6489.505479094667032258611460
1687291199999,2023-06-20 19:59,11087.03659949473628644650032,6707.844446099034086207485038
1687305599999,2023-06-20 23:59,11087.03659949473628644650032,6785.803471667915836334019518
1687319999999,2023-06-21 03:59,11087.03659949473628644650032,6882.445623898253350573653122
1687334399999,2023-06-21 07:59,11087.03659949473628644650032,6921.070363428152853672750658
1687348799999,2023-06-21 11:59,11087.03659949473628644650032,6934.906520355266360275369101
1687363199999,2023-06-21 15:59,11110.64833122169304080848436,7155.819990571643099964230935
1687377599999,2023-06-21 19:59,11154.78571124139251586608992,7218.252892021170348658825072
1687391999999,2023-06-21 23:59,11157.87377215892867275792464,7189.933356689063805518954266
1687406399999,2023-06-22 03:59,11251.85623308703133204902620,7262.355042947198466204731884
1687420799999,2023-06-22 07:59,11225.46118854842152898164848,7215.548944513584756931910033
1687435199999,2023-06-22 11:59,11164.13495303199514998362034,7174.138755512218536114128743
1687449599999,2023-06-22 15:59,11149.11440935539341355216502,7155.597058729262372986745919
1687463999999,2023-06-22 19:59,11178.20719456975894244026426,7242.482946459712158211712672
1687478399999,2023-06-22 23:59,11151.64841443481579451480112,7163.811977265162925157080882
1687492799999,2023-06-23 03:59,11172.38020517637153874360821,7193.306099723791578178324355
1687507199999,2023-06-23 07:59,11172.91729083572079424062063,7175.095205029529397017532200
1687521599999,2023-06-23 11:59,11170.45228647593541110689793,7225.166176251557623960618487
1687535999999,2023-06-23 15:59,11265.75768912452839723772382,7488.161028113027504399474564
1687550399999,2023-06-23 19:59,11303.91833497280941804298879,7402.552803522243606045470325
1687564799999,2023-06-23 23:59,11282.39650182357836123248161,7356.439471781619467702682557
1687579199999,2023-06-24 03:59,11299.29561028404825493615490,7366.389902724871055697739584
1687593599999,2023-06-24 07:59,11261.48250921169224638983308,7327.453538038955482630114606
1687607999999,2023-06-24 11:59,11269.85223661676255292119374,7355.451859748706999802426355
1687622399999,2023-06-24 15:59,11185.22191208269597581449923,7286.973430272467993718399835
1687636799999,2023-06-24 19:59,11235.04330210155898970403637,7341.898562578592695171240513
1687651199999,2023-06-24 23:59,11228.54000722094341180628038,7317.829114951228398602132442
1687665599999,2023-06-25 03:59,11261.23012609265287623841319,7370.812582823714510251071363
1687679999999,2023-06-25 07:59,11265.98945830152138575523317,7364.896499092578658848565764
1687694399999,2023-06-25 11:59,11273.73047997757279980805335,7363.038733739405934036190626
1687708799999,2023-06-25 15:59,11213.16064465841611812943719,7331.667668994926644204508788
1687723199999,2023-06-25 19:59,11215.26371532524923397012803,7294.421271501252065966205709
1687737599999,2023-06-25 23:59,11231.75915970941895935940580,7302.302990831873897170192099
1687751999999,2023-06-26 03:59,11188.75657903498651064676212,7262.438942027664331196258504
1687766399999,2023-06-26 07:59,11211.97828341447273139951151,7288.311021326752355583309934
1687780799999,2023-06-26 11:59,11205.31769594167187627813368,7268.798492326976897553976232
1687795199999,2023-06-26 15:59,11227.96351896589163086310491,7291.985801051157242212175852
1687809599999,2023-06-26 19:59,11155.31574922127270989936707,7249.880448240216711464602574
1687823999999,2023-06-26 23:59,11158.64330502508778072756892,7255.638322276759788883086549
1687838399999,2023-06-27 03:59,11190.59738639194636059742901,7280.467655861486348375449999
1687852799999,2023-06-27 07:59,11203.92725641027567137465752,7289.972223119976482415536993
1687867199999,2023-06-27 11:59,11226.07453822143581225661078,7366.171765115659806719770374
1687881599999,2023-06-27 15:59,11180.40263446611010839733086,7310.951787469612208296707578
1687895999999,2023-06-27 19:59,11222.69211936538342975681297,7346.738340963180735682447485
1687910399999,2023-06-27 23:59,11216.74631069606884145080434,7357.383935716006633607296498
1687924799999,2023-06-28 03:59,11171.88806910792707133745816,7299.927448296397548410109826
1687939199999,2023-06-28 07:59,11101.36044238497164272232650,7236.015525914086336864889290
1687953599999,2023-06-28 11:59,11132.41493077024201286887453,7265.883598559934273848365694
1687967999999,2023-06-28 15:59,11132.50146848443160362165015,7289.933869254620658419410538
1687982399999,2023-06-28 19:59,11053.54791933696486974451411,7215.369160769729331950067278
1687996799999,2023-06-28 23:59,11047.53905045290621349051311,7209.954074404803931496963490
1688011199999,2023-06-29 03:59,11061.13021664213143598827610,7233.587246813745730110133142
1688025599999,2023-06-29 07:59,11073.89397650646370581900961,7272.969475184422757132728154
1688039999999,2023-06-29 11:59,11103.93832092675698708901462,7352.230135058817784127804181
1688054399999,2023-06-29 15:59,11079.78076904750536905656364,7306.171936999642642779448192
1688068799999,2023-06-29 19:59,11089.24611709901028728666444,7331.626918012986081208624431
1688083199999,2023-06-29 23:59,11095.86429960042209755315572,7298.623416874299532541810375
1688097599999,2023-06-30 03:59,11176.75523577333101358751983,7369.995166068318511333626303
1688111999999,2023-06-30 07:59,11188.25450444696920833078158,7374.798987704135466848464723
1688126399999,2023-06-30 11:59,11197.05827992439691665786494,7409.538001250173051340000842
1688140799999,2023-06-30 15:59,11111.99961837115119286306164,7207.631268434191840731555092
1688155199999,2023-06-30 19:59,11256.73184013375958583518982,7280.657028071680729356324368
1688169599999,2023-06-30 23:59,11253.88124790375611302820553,7304.541897722020122944073878
1688183999999,2023-07-01 03:59,11205.09996365477241991365352,7286.805632111536263735346597
1688198399999,2023-07-01 07:59,11213.06508967328811168165912,7301.636592421316455237494953
1688212799999,2023-07-01 11:59,11209.96463485133097110803351,7316.771986537358499708897041
1688227199999,2023-07-01 15:59,11216.02365614392466593763555,7328.652096331324982509066307
1688241599999,2023-07-01 19:59,11210.03245504189596722828183,7337.504647878766108615003575
1688255999999,2023-07-01 23:59,11232.62497069650390510467929,7331.845055622197330186593640
1688270399999,2023-07-02 03:59,11221.50638650994120012910623,7313.485539699681331040811475
1688284799999,2023-07-02 07:59,11247.82812122571241312486309,7314.372472836034760951235734
