ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1705593599999,2024-01-18 15:59,12271.44768768401453143431757,14393.16543573021290020825366,9903.871937717940858968075150
1705607999999,2024-01-18 19:59,12022.79575250993530050028731,13902.27326723301194490618174,9566.091002346561566960683162
1705622399999,2024-01-18 23:59,12113.17527526707972493196235,14080.70179980379627170566946,9688.866961093692814148417584
1705636799999,2024-01-19 03:59,12083.12574374673882878588323,14021.37758951756615857942649,9648.046209558795456012859764
1705651199999,2024-01-19 07:59,12097.87628227401471536671553,14050.49831137756960508039686,9668.084061657097617403128780
1705665599999,2024-01-19 11:59,12165.59597578671379544231746,14184.19148844913141621792423,9760.077801427385035449256201
1705679999999,2024-01-19 15:59,12090.57317807166481457424866,14036.08041973259725289889881,9658.163168152458778202075823
1705694399999,2024-01-19 19:59,12178.29702657340927508139028,14209.26608261430072435965997,9777.331529261539538407609170
1705708799999,2024-01-19 23:59,12174.34238121482454619376988,14201.45876579469118977916497,9771.959345822268704531940178
1705723199999,2024-01-20 03:59,12143.22480678742062107804146,14140.02601009002638483191242,9729.687712628590172283975404
1705737599999,2024-01-20 07:59,12135.28665004573594630362095,14124.35438873679556724332758,9718.904132732243607935004798
1705751999999,2024-01-20 11:59,12112.54022272774495095000870,14079.44807009553780629858267,9688.004274701985089000499936
1705766399999,2024-01-20 15:59,12093.02679015545825950452409,14040.92437542359586924446140,9661.496274665874989000848556
1705780799999,2024-01-20 19:59,12086.35873849244313269401086,14027.76021348688198247005014,9652.438067552943874947713247
1705795199999,2024-01-20 23:59,12116.63919820890576483352766,14087.54032548520608301705193,9693.572523230280405864332030
1705809599999,2024-01-21 03:59,12126.48251256859476155380910,14106.97313596321229682689713,9706.944162301750145657055581
1705823999999,2024-01-21 07:59,12128.32993813756864950131060,14110.62034965996419619296778,9709.453795441263527905543286
1705838399999,2024-01-21 11:59,12121.37322622940135269900026,14096.88631058313282514260798,9700.003458150283447876081773
1705852799999,2024-01-21 15:59,12105.09278840281896516164328,14064.74523988050671197911035,9677.887316108321766811283876
1705867199999,2024-01-21 19:59,12123.13405372482958964896263,14100.36256113784947922589407,9702.395452236382140331671617
1705881599999,2024-01-21 23:59,12073.45562553414113406068006,14002.28670532363043533515042,9634.909848594155095805931936
1705895999999,2024-01-22 03:59,12017.19574375398320265942339,13891.21765071473274995278007,9558.483676892411627019954807
1705910399999,2024-01-22 07:59,11968.81628666647951203422781,13795.70624203104238530380485,9492.762659051404929387683043
1705924799999,2024-01-22 11:59,11854.91095392943323327108834,13570.83272254068309001451117,9338.028090793282955129363008
1705939199999,2024-01-22 15:59,11849.91713168830069241299835,13560.97384801665061204060144,9331.244238713035843738919682
1705953599999,2024-01-22 19:59,11683.24470613743773914934723,13231.92678731281519110791473,9104.828273907562889008169584
